ファイル名,行数,文言（オリジナル）,文言（翻訳）
Objects_EN.txt,1,-;-,
Objects_EN.txt,2,"Workplace I;Workplace for development. The higher the quality,<br>the better the work result.",
Objects_EN.txt,3,Heating;Employees who are freezing become dissatisfied more quickly.,
Objects_EN.txt,4,Lamp I;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,5,"Trash can;Always keep your offices clean,<br>otherwise your employees will become dissatisfied.",
Objects_EN.txt,6,Water dispenser;Thirsty employees become dissatisfied more quickly.,
Objects_EN.txt,7,"Workplace I;Workplace for research. The higher the quality,<br>the better the work result.",
Objects_EN.txt,8,Plant;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,9,Cactus;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,10,Tropical plant;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,11,Toilet;Here the most important needs are satisfied.,
Objects_EN.txt,12,Washbasin;You should always wash your hands!,
Objects_EN.txt,13,UFO Poster;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,14,Robot Poster;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,15,Aleon Poster;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,16,Retro Poster;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,17,Star Ship Poster;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,18,Gold record;You get this award for every game<br>that has sold at least 1.000.000 units.,
Objects_EN.txt,19,Artistic drawing I;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,20,Artistic drawing II;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,21,Artistic drawing III;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,22,Artistic drawing IV;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,23,Artistic drawing V;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,24,"Hand dryer;Make noise, wind and dry your hands.",
Objects_EN.txt,25,Arcade Cabinet I;With this object your employees<br>can get new motivation.,
Objects_EN.txt,26,Bench - Light Brown;Here your employees can<br>sit down for a break.,
Objects_EN.txt,27,Bench - Dark Brown;Here your employees can<br>sit down for a break.,
Objects_EN.txt,28,Bench - Mint;Here your employees can<br>sit down for a break.,
Objects_EN.txt,29,Cabinet I;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,30,Cabinet II;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,31,Cabinet III;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,32,Filing cabinet;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,33,Sputnik 3000 Cleaner;This ultra-modern cleaning robot removes all dirt.,
Objects_EN.txt,34,Armchair I - Brown;With this object your employees can get new motivation.,
Objects_EN.txt,35,Armchair I - Black;With this object your employees can get new motivation.,
Objects_EN.txt,36,Armchair I - Green;With this object your employees can get new motivation.,
Objects_EN.txt,37,Production machine I;With this machine you can produce games.,
Objects_EN.txt,38,Arcade Cabinet II;With this object your employees can get new motivation.,
Objects_EN.txt,39,Arcade Cabinet III;With this object your employees can get new motivation.,
Objects_EN.txt,40,Clock;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,41,Armchair II - Grey;With this object your employees can get new motivation.,
Objects_EN.txt,42,Armchair II - Blue;With this object your employees can get new motivation.,
Objects_EN.txt,43,Armchair II - Orange;With this object your employees can get new motivation.,
Objects_EN.txt,44,Dart machine;With this object your employees can get new motivation.,
Objects_EN.txt,45,Lamp II;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,46,Intex Server;Servers are required for MMO and F2P games.<br>This server can handle <b><color=blue>100.000</color></b> players.,
Objects_EN.txt,47,Air conditioning;Useful to regulate the temperature in server rooms.,
Objects_EN.txt,48,Heavy duty shelf I;Your produced games are stored here.<br>On this object you can store <b><color=blue>25.000</color></b> games.,
Objects_EN.txt,49,"Workplace I;The workplace for the marketing department. The higher the quality,<br>the better the work result.",
Objects_EN.txt,50,Lamp III;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,51,"Workplace II;Workplace for development. The higher the quality,<br>the better the work result.",
Objects_EN.txt,52,"Workplace III;Workplace for development. The higher the quality,<br>the better the work result.",
Objects_EN.txt,53,"Workplace IV;Workplace for development. The higher the quality,<br>the better the work result.",
Objects_EN.txt,54,"Workplace V;Workplace for development. The higher the quality,<br>the better the work result.",
Objects_EN.txt,55,"Training Desk I;This allows employees to be trained.<br>The higher the quality, the better the result.",
Objects_EN.txt,56,Whiteboard;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,57,"Workplace II;Workplace for research. The higher the quality,<br>the better the work result.",
Objects_EN.txt,58,"Workplace II;The workplace for the marketing department. The higher the quality,<br>the better the work result.",
Objects_EN.txt,59,"Workplace III;The workplace for the marketing department. The higher the quality,<br>the better the work result.",
Objects_EN.txt,60,"Workplace IV;The workplace for the marketing department. The higher the quality,<br>the better the work result.",
Objects_EN.txt,61,"Workplace V;The workplace for the marketing department. The higher the quality,<br>the better the work result.",
Objects_EN.txt,62,"Workplace I;The workplace for the support department. The higher the quality,<br>the better the work result.",
Objects_EN.txt,63,"Workplace II;The workplace for the support department. The higher the quality,<br>the better the work result.",
Objects_EN.txt,64,"Workplace III;The workplace for the support department. The higher the quality,<br>the better the work result.",
Objects_EN.txt,65,"Workplace IV;The workplace for the support department. The higher the quality,<br>the better the work result.",
Objects_EN.txt,66,"Workplace V;The workplace for the support department. The higher the quality,<br>the better the work result.",
Objects_EN.txt,67,"Workplace III;Workplace for research. The higher the quality,<br>the better the work result.",
Objects_EN.txt,68,"Workplace IV;Workplace for research. The higher the quality,<br>the better the work result.",
Objects_EN.txt,69,"Workplace V;Workplace for research. The higher the quality,<br>the better the work result.",
Objects_EN.txt,70,Armchair III - Red;With this object your employees can get new motivation.,
Objects_EN.txt,71,Armchair III - Green;With this object your employees can get new motivation.,
Objects_EN.txt,72,Armchair III - Blue;With this object your employees can get new motivation.,
Objects_EN.txt,73,Medicine cabinet;This enables sick employees to heal themselves.<br>Sick employees work more slowly.,
Objects_EN.txt,74,Electric heating;Employees who are freezing become dissatisfied more quickly.<br>This heater can be placed on any position.,
Objects_EN.txt,75,"Workplace I;The workplace for quality assurance. The higher the quality,<br>the better the work result.",
Objects_EN.txt,76,"Workplace I;The workplace for the graphic studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,77,"Workplace I;The workplace for the sound studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,78,"Workplace I;The workplace for the motion capture studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,79,Keyboard;With this object your employees can get new motivation.,
Objects_EN.txt,80,Heavy duty shelf II;Your produced games are stored here.<br>On this object you can store <b><color=blue>50.000</color></b> games.,
Objects_EN.txt,81,Heavy duty shelf III;Your produced games are stored here.<br>On this object you can store <b><color=blue>100.000</color></b> games.,
Objects_EN.txt,82,"Workplace II;The workplace for the sound studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,83,"Workplace III;The workplace for the sound studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,84,Animal Painting I;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,85,Animal Painting II;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,86,Animal Painting III;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,87,Animal Painting IV;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,88,Animal Painting V;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,89,"Workplace II;The workplace for quality assurance. The higher the quality,<br>the better the work result.",
Objects_EN.txt,90,"Workplace III;The workplace for quality assurance. The higher the quality,<br>the better the work result.",
Objects_EN.txt,91,"Workplace IV;The workplace for quality assurance. The higher the quality,<br>the better the work result.",
Objects_EN.txt,92,"Workplace V;The workplace for quality assurance. The higher the quality,<br>the better the work result.",
Objects_EN.txt,93,Your sports car;You should sell your<br>old sports car to make some money.,
Objects_EN.txt,94,Carpet I;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,95,Carpet II;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,96,Carpet III;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,97,Carpet IV;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,98,Carpet V;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,99,Carpet VI;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,100,Fridge;Ideal for storing perishable food.,
Objects_EN.txt,101,TV;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,102,Modern TV;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,103,Radio;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,104,"Workplace II;The workplace for the graphic studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,105,"Workplace III;The workplace for the graphic studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,106,"Workplace IV;The workplace for the graphic studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,107,"Workplace V;The workplace for the graphic studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,108,Modern Radio;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,109,Small cupboard I;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,110,Small cupboard II;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,111,Small cupboard III;Your employees are more motivated when<br>they work in well-equipped offices.,
Objects_EN.txt,112,"Training Desk II;This allows employees to be trained.<br>The higher the quality, the better the result.",
Objects_EN.txt,113,"Training Desk III;This allows employees to be trained.<br>The higher the quality, the better the result.",
Objects_EN.txt,114,"Training Desk IV;This allows employees to be trained.<br>The higher the quality, the better the result.",
Objects_EN.txt,115,"Training Desk V;This allows employees to be trained.<br>The higher the quality, the better the result.",
Objects_EN.txt,116,Production machine II;With this machine you can produce games.,
Objects_EN.txt,117,Production machine III;With this machine you can produce games.,
Objects_EN.txt,118,Production machine IV;With this machine you can produce games.,
Objects_EN.txt,119,Production machine V;With this machine you can produce games.,
Objects_EN.txt,120,"Workplace IV;The workplace for the sound studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,121,"Workplace V;The workplace for the sound studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,122,"Workplace II;The workplace for the motion capture studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,123,"Workplace III;The workplace for the motion capture studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,124,"Workplace IV;The workplace for the motion capture studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,125,"Workplace V;The workplace for the motion capture studio. The higher the quality,<br>the better the work result.",
Objects_EN.txt,126,G-Electic Server;Servers are required for MMO and F2P games.<br>This server can handle <b><color=blue>200.000</color></b> players.,
Objects_EN.txt,127,Metrics Server;Servers are required for MMO and F2P games.<br>This server can handle <b><color=blue>300.000</color></b> players.,
Objects_EN.txt,128,DivoTech Server;Servers are required for MMO and F2P games.<br>This server can handle <b><color=blue>400.000</color></b> players.,
Objects_EN.txt,129,IBN Server;Servers are required for MMO and F2P games.<br>This server can handle <b><color=blue>500.000</color></b> players.,
Objects_EN.txt,130,Platinum record;You get this award for every game<br>that has sold at least 5.000.000 units.,
Objects_EN.txt,131,Diamond record;You get this award for every game<br>that has sold at least 10.000.000 units.,
Objects_EN.txt,132,"Coffee maker;The staple food of a game developer is coffee.<br>The most modern coffee maker comes from ""Gronky Industries"" and<br>can easily keep the coffee warm for 17 hours.",
Objects_EN.txt,133,"""Game of the Year"" Award;You get this award,<br>when one of your games is chosen as ""Game of the Year"".",
Text_EN.txt,1,﻿<b>Build rooms</b><br>Here you can build rooms.,
Text_EN.txt,2,-,
Text_EN.txt,3,-,
Text_EN.txt,4,-,
Text_EN.txt,5,Technology level,
Text_EN.txt,6,Experience,
Text_EN.txt,7,Development costs,
Text_EN.txt,8,$,
Text_EN.txt,9,"As the experience level increases, the development costs decrease.<br>Additionally, the gameplay, graphics, technology and sound points increase.",
Text_EN.txt,10,Graphic,
Text_EN.txt,11,Sound,
Text_EN.txt,12,Artificial Intelligence,
Text_EN.txt,13,Physics,
Text_EN.txt,14,Gameplay,
Text_EN.txt,15,Controls,
Text_EN.txt,16,Multiplayer,
Text_EN.txt,17,Enable/disable all,
Text_EN.txt,18,Building a room,
Text_EN.txt,19,Close,
Text_EN.txt,20,Development,
Text_EN.txt,21,Research,
Text_EN.txt,22,Quality assurance,
Text_EN.txt,23,Graphic studio,
Text_EN.txt,24,Sound studio,
Text_EN.txt,25,Marketing,
Text_EN.txt,26,Support,
Text_EN.txt,27,Console development,
Text_EN.txt,28,Stockroom,
Text_EN.txt,29,Motion Capture Studio,
Text_EN.txt,30,Toilets,
Text_EN.txt,31,Lounge,
Text_EN.txt,32,Training room,
Text_EN.txt,33,Production,
Text_EN.txt,34,Server room,
Text_EN.txt,35,In the <color=blue>development</color> you can develop games and engines.,
Text_EN.txt,36,In this room you can develop new technologies.,
Text_EN.txt,37,With the <color=blue>quality assurance</color> you can improve<br>the gameplay of your games and effectively remove bugs.,
Text_EN.txt,38,<color=blue>Graphics studios</color> create professional graphics for your games.,
Text_EN.txt,39,With a <color=blue>Sound studio</color> you can create high-quality sounds for your games.,
Text_EN.txt,40,In the <color=blue>Marketing department</color> you can advertise your games.,
Text_EN.txt,41,The <color=blue>support department</color> is needed to support your fans.,
Text_EN.txt,42,The <color=blue>console development</color> is not yet available.,
Text_EN.txt,43,In the <color=blue>storage room</color> your produced games are stored.,
Text_EN.txt,44,The <color=blue>Motion Capture Studio</color> is required to record professional animations.,
Text_EN.txt,45,<color=blue>Toilets</color> should be available everywhere.,
Text_EN.txt,46,In the <color=blue>Lounge</color> your employees<br>can relax and get new motivation.,
Text_EN.txt,47,The <color=blue>Training room</color> is ideal<br>for training your employees.,
Text_EN.txt,48,In this room you can produce your games.,
Text_EN.txt,49,The <color=blue>Server room</color> is needed if you want to develop MMO games.,
Text_EN.txt,50,*,
Text_EN.txt,51,*,
Text_EN.txt,52,"You can research quality assurance under the heading <color=blue>""Miscellaneous""</color>.",
Text_EN.txt,53,"You can research graphic studio under the heading <color=blue>""Miscellaneous""</color>.",
Text_EN.txt,54,"You can research sound studio under the heading <color=blue>""Miscellaneous""</color>.",
Text_EN.txt,55,"You can research marketing department under the heading <color=blue>""Miscellaneous""</color>.",
Text_EN.txt,56,"You can research support section under the heading <color=blue>""Miscellaneous""</color>.",
Text_EN.txt,57,The console development can not yet be unlocked.,
Text_EN.txt,58,The storage room will be unlocked when you have researched the <color=blue>production</color>.,
Text_EN.txt,59,This will be unlocked in <color=blue>November 1993</color>.,
Text_EN.txt,60,*,
Text_EN.txt,61,*,
Text_EN.txt,62,"You can research training room under the heading <color=blue>""Miscellaneous""</color>.",
Text_EN.txt,63,"You can research production under the heading <color=blue>""Miscellaneous""</color>.",
Text_EN.txt,64,Will be unlocked if you have researched <color=blue>Online Multiplayer</color>.,
Text_EN.txt,65,Layout,
Text_EN.txt,66,<b>Room design</b><br>You can press the <color=blue>left shift key</color><br>to remove the room.,
Text_EN.txt,67,<b>Remove room</b><br>Alternatively you can press the <color=blue>left shift key</color><br>to remove the room.,
Text_EN.txt,68,<b>Place door</b><br>The door must be connected to the corridor.<br>With the <color=blue>DEL key</color> you can remove the door.,
Text_EN.txt,69,<b>Placing windows</b><br>Hold down the <color=blue>left shift key</color><br>to remove windows.,
Text_EN.txt,70,Accept,
Text_EN.txt,71,Price per square meter,
Text_EN.txt,72,Square meters,
Text_EN.txt,73,sqm,
Text_EN.txt,74,▪ Not all rooms are accessible.,
Text_EN.txt,75,Technics,
Text_EN.txt,76,▪ Minimum size of <NUM> must be fulfilled.,
Text_EN.txt,77,▪ A door is missing.,
Text_EN.txt,78,<b>Buy items</b><br>Here you can buy objects for your rooms.,
Text_EN.txt,79,Buy items,
Text_EN.txt,80,Rotate object,
Text_EN.txt,81,Place object,
Text_EN.txt,82,This is not the correct room!,
Text_EN.txt,83,This is outside the building!,
Text_EN.txt,84,Snapping,
Text_EN.txt,85,Move object,
Text_EN.txt,86,Sell item,
Text_EN.txt,87,Dismiss employee,
Text_EN.txt,88,Shortcut:,
Text_EN.txt,89,Sales price,
Text_EN.txt,90,<b>Management</b><br>Here you will find all necessary functions to run your company.,
Text_EN.txt,91,"<b>Statistics</b><br>Here you can view all statistics about finances, games or platforms.",
Text_EN.txt,92,<b>Employees</b><br>Here you can add new employees and manage groups.,
Text_EN.txt,93,Corridor,
Text_EN.txt,94,This allows you to disable the lifting of employees.,
